DateTime,03FEIND.03CO2AR1.PNT
1/1/2022 11:40:00,1164.306640625
1/1/2022 11:45:00,1183.88671875
1/1/2022 11:50:00,1195.60546875
1/1/2022 11:55:00,1194.62890625
1/1/2022 12:00:00,1183.10546875
1/1/2022 12:05:00,1179.931640625
1/1/2022 12:10:00,1189.501953125
1/1/2022 12:15:00,1175.87890625
1/1/2022 12:20:00,1195.1171875
1/1/2022 12:25:00,1197.509765625
1/1/2022 12:30:00,1207.666015625
1/1/2022 12:35:00,1239.2578125
1/1/2022 12:40:00,1226.025390625
1/1/2022 12:45:00,1206.103515625
1/1/2022 12:50:00,1224.072265625
1/1/2022 12:55:00,1206.689453125
1/1/2022 13:00:00,1194.82421875
1/1/2022 13:05:00,1174.4140625
1/1/2022 13:10:00,1174.90234375
1/1/2022 13:15:00,1150.0
1/1/2022 13:20:00,1147.36328125
1/1/2022 13:25:00,1124.658203125
1/1/2022 13:30:00,1115.869140625
1/1/2022 13:35:00,1091.748046875
1/1/2022 13:40:00,1104.19921875
1/1/2022 13:45:00,1094.921875
1/1/2022 13:50:00,1094.82421875
1/1/2022 13:55:00,1087.20703125
1/1/2022 14:00:00,1082.373046875
1/1/2022 14:05:00,1094.3359375
1/1/2022 14:10:00,1094.62890625
1/1/2022 14:15:00,1095.60546875
1/1/2022 14:20:00,1102.44140625
1/1/2022 14:25:00,1101.611328125
1/1/2022 14:30:00,1114.16015625
1/1/2022 14:35:00,1134.521484375
1/1/2022 14:40:00,1134.619140625
1/1/2022 14:45:00,1136.083984375
1/1/2022 14:50:00,1146.77734375
1/1/2022 14:55:00,1150.9765625
1/1/2022 15:00:00,1153.759765625
1/1/2022 15:05:00,1170.263671875
1/1/2022 15:10:00,1198.779296875
1/1/2022 15:15:00,1202.44140625
1/1/2022 15:20:00,1191.30859375
1/1/2022 15:25:00,1185.44921875
1/1/2022 15:30:00,1188.037109375
1/1/2022 15:35:00,1199.462890625
1/1/2022 15:40:00,1202.34375
1/1/2022 15:45:00,1204.833984375
1/1/2022 15:50:00,1187.548828125
1/1/2022 15:55:00,1195.1171875
1/1/2022 16:00:00,1197.216796875
