DateTime,03FEIND.03CO2AR3.PNT
1/1/2023 00:05:00,16.466796875
1/1/2023 00:10:00,16.373046875
1/1/2023 00:15:00,16.1875
1/1/2023 00:20:00,16.09375
1/1/2023 00:25:00,15.904296875
1/1/2023 00:30:00,15.806640625
1/1/2023 00:35:00,15.712890625
1/1/2023 00:40:00,15.6171875
1/1/2023 00:45:00,15.42578125
1/1/2023 00:50:00,15.326171875
1/1/2023 00:55:00,15.232421875
1/1/2023 01:00:00,15.12890625
1/1/2023 01:05:00,15.01953125
1/1/2023 01:10:00,14.91796875
1/1/2023 01:15:00,14.822265625
1/1/2023 01:20:00,14.720703125
1/1/2023 01:25:00,14.626953125
1/1/2023 01:30:00,14.53515625
1/1/2023 01:35:00,14.3359375
1/1/2023 01:40:00,14.232421875
1/1/2023 01:45:00,14.134765625
1/1/2023 01:50:00,14.04296875
1/1/2023 01:55:00,13.94921875
1/1/2023 02:00:00,13.84765625
1/1/2023 02:05:00,13.751953125
1/1/2023 02:10:00,13.650390625
1/1/2023 02:15:00,13.552734375
1/1/2023 02:20:00,13.552734375
1/1/2023 02:25:00,13.4609375
1/1/2023 02:30:00,13.359375
1/1/2023 02:35:00,13.26171875
1/1/2023 02:40:00,13.26171875
1/1/2023 02:45:00,13.169921875
1/1/2023 02:50:00,13.060546875
1/1/2023 02:55:00,12.962890625
1/1/2023 03:00:00,12.859375
1/1/2023 03:05:00,12.859375
1/1/2023 03:10:00,12.673828125
1/1/2023 03:15:00,12.673828125
1/1/2023 03:20:00,12.673828125
1/1/2023 03:25:00,12.576171875
1/1/2023 03:30:00,12.482421875
1/1/2023 03:35:00,12.482421875
1/1/2023 03:40:00,12.470703125
1/1/2023 03:45:00,12.28125
1/1/2023 03:50:00,12.1875
1/1/2023 03:55:00,12.1875
1/1/2023 04:00:00,12.087890625
1/1/2023 04:05:00,12.126953125
1/1/2023 04:10:00,12.029296875
1/1/2023 04:15:00,11.935546875
1/1/2023 04:20:00,11.935546875
1/1/2023 04:25:00,11.82421875
1/1/2023 04:30:00,11.73046875
1/1/2023 04:35:00,11.73046875
1/1/2023 04:40:00,11.63671875
1/1/2023 04:45:00,11.541015625
1/1/2023 04:50:00,11.533203125
1/1/2023 04:55:00,11.431640625
1/1/2023 05:00:00,11.2421875
1/1/2023 05:05:00,11.1328125
1/1/2023 05:10:00,11.1328125
1/1/2023 05:15:00,11.033203125
1/1/2023 05:20:00,10.939453125
1/1/2023 05:25:00,10.837890625
1/1/2023 05:30:00,10.7421875
1/1/2023 05:35:00,10.64453125
1/1/2023 05:40:00,10.52734375
1/1/2023 05:45:00,10.431640625
1/1/2023 05:50:00,10.337890625
1/1/2023 05:55:00,10.244140625
1/1/2023 06:00:00,10.12890625
1/1/2023 06:05:00,10.12890625
1/1/2023 06:10:00,9.935546875
1/1/2023 06:15:00,9.830078125
1/1/2023 06:20:00,9.740234375
1/1/2023 06:25:00,9.6484375
1/1/2023 06:30:00,9.4609375
1/1/2023 06:35:00,9.365234375
1/1/2023 06:40:00,9.177734375
1/1/2023 06:45:00,9.173828125
1/1/2023 06:50:00,8.984375
1/1/2023 06:55:00,8.890625
1/1/2023 07:00:00,8.798828125
1/1/2023 07:05:00,8.705078125
1/1/2023 07:10:00,8.515625
1/1/2023 07:15:00,8.421875
1/1/2023 07:20:00,8.328125
1/1/2023 07:25:00,8.142578125
1/1/2023 07:30:00,8.048828125
1/1/2023 07:35:00,7.9765625
1/1/2023 07:40:00,7.8828125
1/1/2023 07:45:00,7.78515625
1/1/2023 07:50:00,7.689453125
1/1/2023 07:55:00,7.587890625
1/1/2023 08:00:00,7.4921875
1/1/2023 08:05:00,7.3984375
1/1/2023 08:10:00,7.30078125
1/1/2023 08:15:00,7.30078125
1/1/2023 08:20:00,7.099609375
1/1/2023 08:25:00,7.005859375
1/1/2023 08:30:00,6.91015625
1/1/2023 08:35:00,6.81640625
1/1/2023 08:40:00,6.81640625
1/1/2023 08:45:00,6.630859375
1/1/2023 08:50:00,6.533203125
1/1/2023 08:55:00,6.439453125
1/1/2023 09:00:00,6.34765625
1/1/2023 09:05:00,6.34765625
1/1/2023 09:10:00,6.25390625
1/1/2023 09:15:00,6.35546875
1/1/2023 09:20:00,6.16796875
1/1/2023 09:25:00,6.16796875
1/1/2023 09:30:00,6.076171875
1/1/2023 09:35:00,6.17578125
1/1/2023 09:40:00,6.26171875
1/1/2023 09:45:00,6.1640625
1/1/2023 09:50:00,6.16796875
1/1/2023 09:55:00,6.26171875
1/1/2023 10:00:00,6.35546875
1/1/2023 10:05:00,6.451171875
1/1/2023 10:10:00,6.544921875
1/1/2023 10:15:00,6.658203125
1/1/2023 10:20:00,6.75
1/1/2023 10:25:00,6.8671875
1/1/2023 10:30:00,7.130859375
1/1/2023 10:35:00,7.22265625
1/1/2023 10:40:00,7.41015625
1/1/2023 10:45:00,7.607421875
1/1/2023 10:50:00,7.79296875
1/1/2023 10:55:00,8.091796875
1/1/2023 11:00:00,8.189453125
1/1/2023 11:05:00,8.5078125
1/1/2023 11:10:00,8.701171875
1/1/2023 11:15:00,9.00390625
1/1/2023 11:20:00,9.306640625
1/1/2023 11:25:00,9.49609375
1/1/2023 11:30:00,9.806640625
1/1/2023 11:35:00,10.0859375
1/1/2023 11:40:00,10.447265625
1/1/2023 11:45:00,10.640625
1/1/2023 11:50:00,11.21875
1/1/2023 11:55:00,11.341796875
1/1/2023 12:00:00,11.63671875
1/1/2023 12:05:00,11.958984375
1/1/2023 12:10:00,12.34765625
1/1/2023 12:15:00,12.654296875
1/1/2023 12:20:00,13.041015625
1/1/2023 12:25:00,13.33203125
1/1/2023 12:30:00,13.623046875
1/1/2023 12:35:00,14.0078125
1/1/2023 12:40:00,14.294921875
1/1/2023 12:45:00,14.669921875
