DateTime,03FECONTROL.03LRC9.MEAS
1/1/2022 12:20:00,39.763671875
1/1/2022 12:25:00,40.548828125
1/1/2022 12:30:00,39.44140625
1/1/2022 12:35:00,40.080078125
1/1/2022 12:40:00,40.068359375
1/1/2022 12:45:00,39.05078125
1/1/2022 12:50:00,40.556640625
1/1/2022 12:55:00,39.859375
1/1/2022 13:00:00,40.517578125
1/1/2022 13:05:00,39.9921875
1/1/2022 13:10:00,39.8984375
1/1/2022 13:15:00,39.8359375
1/1/2022 13:20:00,40.228515625
1/1/2022 13:25:00,39.3828125
1/1/2022 13:30:00,40.654296875
1/1/2022 13:35:00,39.33984375
1/1/2022 13:40:00,40.986328125
1/1/2022 13:45:00,40.068359375
1/1/2022 13:50:00,39.314453125
1/1/2022 13:55:00,40.689453125
1/1/2022 14:00:00,39.53125
1/1/2022 14:05:00,40.8515625
1/1/2022 14:10:00,39.89453125
1/1/2022 14:15:00,39.779296875
1/1/2022 14:20:00,40.765625
1/1/2022 14:25:00,39.43359375
1/1/2022 14:30:00,40.8671875
1/1/2022 14:35:00,40.478515625
1/1/2022 14:40:00,40.9140625
1/1/2022 14:45:00,40.33203125
1/1/2022 14:50:00,39.603515625
1/1/2022 14:55:00,40.669921875
1/1/2022 15:00:00,40.025390625
1/1/2022 15:05:00,39.46484375
1/1/2022 15:10:00,41.048828125
1/1/2022 15:15:00,40.146484375
1/1/2022 15:20:00,40.603515625
1/1/2022 15:25:00,39.697265625
1/1/2022 15:30:00,40.130859375
1/1/2022 15:35:00,39.771484375
1/1/2022 15:40:00,39.677734375
1/1/2022 15:45:00,39.4140625
1/1/2022 15:50:00,40.162109375
1/1/2022 15:55:00,40.37109375
1/1/2022 16:00:00,39.787109375
1/1/2022 16:05:00,39.701171875
1/1/2022 16:10:00,40.962890625
1/1/2022 16:15:00,40.138671875
1/1/2022 16:20:00,40.4140625
1/1/2022 16:25:00,38.94921875
1/1/2022 16:30:00,40.40625
1/1/2022 16:35:00,39.3515625
1/1/2022 16:40:00,39.83203125
1/1/2022 16:45:00,40.646484375
1/1/2022 16:50:00,39.701171875
1/1/2022 16:55:00,39.37109375
1/1/2022 17:00:00,40.076171875
1/1/2022 17:05:00,40.056640625
1/1/2022 17:10:00,39.859375
1/1/2022 17:15:00,40.115234375
1/1/2022 17:20:00,40.78125
1/1/2022 17:25:00,39.607421875
1/1/2022 17:30:00,40.587890625
1/1/2022 17:35:00,39.275390625
1/1/2022 17:40:00,39.607421875
1/1/2022 17:45:00,39.8359375
1/1/2022 17:50:00,40.224609375
1/1/2022 17:55:00,39.79296875
1/1/2022 18:00:00,39.953125
1/1/2022 18:05:00,40.71484375
1/1/2022 18:10:00,39.755859375
1/1/2022 18:15:00,40.3515625
1/1/2022 18:20:00,40.068359375
1/1/2022 18:25:00,40.265625
1/1/2022 18:30:00,40.232421875
1/1/2022 18:35:00,40.021484375
1/1/2022 18:40:00,39.91796875
1/1/2022 18:45:00,40.654296875
1/1/2022 18:50:00,39.322265625
1/1/2022 18:55:00,39.796875
1/1/2022 19:00:00,40.796875
1/1/2022 19:05:00,39.623046875
1/1/2022 19:10:00,39.984375
1/1/2022 19:15:00,40.654296875
1/1/2022 19:20:00,39.568359375
1/1/2022 19:25:00,40.080078125
1/1/2022 19:30:00,39.81640625
1/1/2022 19:35:00,40.73828125
1/1/2022 19:40:00,39.3515625
1/1/2022 19:45:00,40.453125
1/1/2022 19:50:00,39.775390625
1/1/2022 19:55:00,40.7109375
1/1/2022 20:00:00,39.212890625
1/1/2022 20:05:00,39.732421875
1/1/2022 20:10:00,39.666015625
1/1/2022 20:15:00,39.9140625
1/1/2022 20:20:00,40.205078125
1/1/2022 20:25:00,38.853515625
1/1/2022 20:30:00,40.990234375
1/1/2022 20:35:00,39.185546875
1/1/2022 20:40:00,40.37890625
1/1/2022 20:45:00,40.39453125
1/1/2022 20:50:00,40.00390625
1/1/2022 20:55:00,40.208984375
1/1/2022 21:00:00,39.5078125
1/1/2022 21:05:00,39.732421875
1/1/2022 21:10:00,40.44921875
1/1/2022 21:15:00,38.95703125
1/1/2022 21:20:00,39.1015625
1/1/2022 21:25:00,40.703125
1/1/2022 21:30:00,40.064453125
1/1/2022 21:35:00,39.97265625
1/1/2022 21:40:00,40.197265625
1/1/2022 21:45:00,38.95703125
1/1/2022 21:50:00,39.775390625
1/1/2022 21:55:00,40.28125
1/1/2022 22:00:00,39.40234375
1/1/2022 22:05:00,40.228515625
1/1/2022 22:10:00,39.779296875
1/1/2022 22:15:00,40.01171875
1/1/2022 22:20:00,39.81640625
1/1/2022 22:25:00,39.9296875
1/1/2022 22:30:00,40.25390625
1/1/2022 22:35:00,38.708984375
1/1/2022 22:40:00,38.865234375
1/1/2022 22:45:00,39.953125
1/1/2022 22:50:00,39.4375
1/1/2022 22:55:00,40.490234375
1/1/2022 23:00:00,40.3828125
1/1/2022 23:05:00,40.537109375
1/1/2022 23:10:00,40.2734375
1/1/2022 23:15:00,40.509765625
1/1/2022 23:20:00,39.623046875
1/1/2022 23:25:00,40.3203125
1/1/2022 23:30:00,40.041015625
1/1/2022 23:35:00,39.91796875
1/1/2022 23:40:00,40.142578125
1/1/2022 23:45:00,40.525390625
1/1/2022 23:50:00,40.099609375
1/1/2022 23:55:00,40.27734375
1/2/2022 00:00:00,40.033203125
1/2/2022 00:05:00,40.421875
1/2/2022 00:10:00,39.322265625
1/2/2022 00:15:00,40.068359375
1/2/2022 00:20:00,39.775390625
1/2/2022 00:25:00,39.48046875
1/2/2022 00:30:00,40.166015625
1/2/2022 00:35:00,39.8984375
1/2/2022 00:40:00,39.9296875
1/2/2022 00:45:00,39.224609375
1/2/2022 00:50:00,39.783203125
1/2/2022 00:55:00,39.736328125
1/2/2022 01:00:00,40.82421875
1/2/2022 01:05:00,39.95703125
1/2/2022 01:10:00,40.130859375
1/2/2022 01:15:00,40.580078125
1/2/2022 01:20:00,39.90625
1/2/2022 01:25:00,40.41015625
1/2/2022 01:30:00,40.41015625
1/2/2022 01:35:00,40.24609375
1/2/2022 01:40:00,39.701171875
1/2/2022 01:45:00,41.533203125
1/2/2022 01:50:00,39.294921875
